dia,linea_al01,linea_al02,linea_al04,num_cambios,meta_dia
1,0,19600,50160,0,83000
2,7800,10976,31920,2,65500
3,30600,16648,52080,4,108000
4,26800,27000,8000,5,108000
5,38800,32800,16172,3,108000
6,31600,37600,38324,2,108000
7,20600,17040,43364,5,108000
8,7600,29760,61237,2,95500
9,9400,21600,54205,2,95500
10,10800,16200,58600,3,95500
11,14000,17600,55084,2,95500
12,0,16000,20510,3,83000
13,17800,22000,14943,2,65500
14,0,5184,0,1,23000
15,11200,10368,0,3,31300
16,51000,13536,0,1,31300
17,17400,0,0,0,12500
18,2200,1800,0,2,15900
19,27200,33400,30240,3,108000
20,32000,31200,26160,3,108000
21,32600,28200,55400,1,108000
22,34600,18200,38800,4,108000
23,21600,13200,52080,3,108000
24,20340,18100,13722,2,108000
25,36838,15300,0,2,108000
26,10170,12600,0,4,48000
27,13970,11400,0,2,48000
28,11400,14400,0,3,48000
29,25800,22500,0,3,48000
30,22200,6500,0,3,48000
